Estacao,Date,Data2,Day,Hora,Precipitacao,total_precip,TempMaxima,TempMinima,min temp,Temp Comp Media,Umidade Relativa Media
83743,02/08/2002,,,0,,0,23.7,,,22.06,84.75
83743,02/08/2002,,,1200,8.9,,,20.1,,,
83743,03/08/2002,,,0,,8.9,29.6,,,24.6,77.5
83743,03/08/2002,,,1200,0.3,,,20.4,,,
83743,04/08/2002,,,0,,0.3,26,,,22.16,82.25
83743,04/08/2002,,,1200,0,,,20.6,,,
83743,05/08/2002,,,0,,0,28.8,,,24.16,79.25
83743,05/08/2002,,,1200,0,,,20.2,,,
83743,06/08/2002,,,0,,0,25.8,,,23.1,81.25
83743,06/08/2002,,,1200,0,,,22.2,,,
83743,07/08/2002,,,0,,0,29.7,,,23.36,78
83743,07/08/2002,,,1200,1.4,,,19.1,,,
83743,08/08/2002,,,0,,1.4,28.3,,,24.64,78
83743,08/08/2002,,,1200,0,,,21.9,,,
83743,09/08/2002,,,0,,0,34.4,,,26.5,57.5
83743,09/08/2002,,,1200,0,,,20.4,,,
83743,10/08/2002,,,0,,0,28.4,,,23.8,73.25
83743,10/08/2002,,,1200,0,,,21.2,,,
83743,11/08/2002,,,0,,0,27.3,,,23.18,81.25
83743,11/08/2002,,,1200,0,,,20.6,,,
83743,12/08/2002,,,0,,0,33,,,23.06,80.25
83743,12/08/2002,,,1200,0,,,20.5,,,
83743,13/08/2002,,,0,,0,34.3,,,26.9,60.75
83743,13/08/2002,,,1200,0,,,21.3,,,
83743,14/08/2002,,,0,,0,34.1,,,26.16,64
83743,14/08/2002,,,1200,0,,,21.5,,,
83743,15/08/2002,,,0,,0,25,,,23.5,81
83743,15/08/2002,,,1200,0,,,22.5,,,
83743,16/08/2002,,,0,,0,29.5,,,24.88,72
83743,16/08/2002,,,1200,0,,,22,,,
83743,17/08/2002,,,0,,0,31.4,,,24.8,68.25
83743,17/08/2002,,,1200,0,,,21.2,,,
83743,18/08/2002,,,0,,0,29.9,,,23.96,72.25
83743,18/08/2002,,,1200,0,,,20.4,,,
83743,19/08/2002,,,0,,0,32.2,,,25.1,63.75
83743,19/08/2002,,,1200,0,,,20.8,,,
83743,20/08/2002,,,0,,0,32.8,,,25.36,58.25
83743,20/08/2002,,,1200,0,,,20.3,,,
83743,21/08/2002,,,0,,0,32.6,,,25.64,65.5
83743,21/08/2002,,,1200,0,,,20.4,,,
83743,22/08/2002,,,0,,0,32.5,,,26.5,64.75
83743,22/08/2002,,,1200,0,,,22.2,,,
83743,23/08/2002,,,0,,0,28.9,,,25.22,72.25
83743,23/08/2002,,,1200,0,,,22.2,,,
83743,24/08/2002,,,0,,0,30.7,,,24.84,70
83743,24/08/2002,,,1200,0,,,21.4,,,
83743,25/08/2002,,,0,,0,30.4,,,24.82,71.25
83743,25/08/2002,,,1200,0,,,21.3,,,
83743,26/08/2002,,,0,,0,29.3,,,24.24,69
83743,26/08/2002,,,1200,0,,,21.6,,,
83743,27/08/2002,,,0,,0,27,,,23.2,68.25
83743,27/08/2002,,,1200,0,,,20.3,,,
83743,28/08/2002,,,0,,0,31.7,,,24.54,66.75
83743,28/08/2002,,,1200,0,,,19.8,,,
83743,29/08/2002,,,0,,0,34.8,,,27.2,55.5
83743,29/08/2002,,,1200,0,,,21.2,,,
83743,30/08/2002,,,0,,0,31.5,,,25.22,71.25
83743,30/08/2002,,,1200,0,,,23.3,,,
83743,31/08/2002,,,0,,0,28.8,,,,
83743,31/08/2002,,,1200,0,,,21.4,,,
83743,01/09/2002,,,0,,0,23.1,,,20.04,82.75
83743,01/09/2002,,,1200,9.8,,,18.8,,,
83743,02/09/2002,,,0,,9.8,22.4,,,18.74,63.5
83743,02/09/2002,,,1200,6.8,,,17.2,,,
83743,03/09/2002,,,0,,6.8,23.4,,,18.9,66.5
83743,03/09/2002,,,1200,0,,,14.3,,,
83743,04/09/2002,,,0,,0,24.6,,,20.6,70.75
83743,04/09/2002,,,1200,0,,,17.2,,,
83743,05/09/2002,,,0,,0,27.4,,,23.3,73.25
83743,05/09/2002,,,1200,0,,,19.4,,,
83743,06/09/2002,,,0,,0,35.2,,,28.12,59.75
83743,06/09/2002,,,1200,0,,,21,,,
83743,07/09/2002,,,0,,0,29.5,,,22.12,73.75
83743,07/09/2002,,,1200,12.4,,,19.6,,,
83743,08/09/2002,,,0,,12.4,20.5,,,18.5,89
83743,08/09/2002,,,1200,1.8,,,17.4,,,
83743,09/09/2002,,,0,,1.8,26.7,,,21.76,77.75
83743,09/09/2002,,,1200,4.8,,,18.4,,,
83743,10/09/2002,,,0,,4.8,25.4,,,21.98,76.75
83743,10/09/2002,,,1200,10.2,,,20,,,
83743,11/09/2002,,,0,,10.2,28.6,,,22.88,65
83743,11/09/2002,,,1200,0,,,19.2,,,
83743,12/09/2002,,,0,,0,32.3,,,25.3,60.25
83743,12/09/2002,,,1200,0,,,19,,,
83743,13/09/2002,,,0,,0,30.9,,,26.18,65.25
83743,13/09/2002,,,1200,0,,,23.1,,,
83743,14/09/2002,,,0,,0,25.5,,,22.94,78.75
83743,14/09/2002,,,1200,0.3,,,21.8,,,
83743,15/09/2002,,,0,,0.3,27.2,,,22.36,75.5
83743,15/09/2002,,,1200,0.5,,,20.5,,,
83743,16/09/2002,,,0,,0.5,27.7,,,23.58,64.5
83743,16/09/2002,,,1200,0,,,20.1,,,
83743,17/09/2002,,,0,,0,29.8,,,24.34,66
83743,17/09/2002,,,1200,0,,,20.2,,,
83743,18/09/2002,,,0,,0,31.5,,,25.16,66
83743,18/09/2002,,,1200,0,,,21.3,,,
83743,19/09/2002,,,0,,0,34,,,26.9,57.25
83743,19/09/2002,,,1200,0,,,21.6,,,
83743,20/09/2002,,,0,,0,34.1,,,27.76,60.25
83743,20/09/2002,,,1200,0,,,23.5,,,
83743,21/09/2002,,,0,,0,26.1,,,20.86,80.5
83743,21/09/2002,,,1200,0.6,,,19,,,
83743,22/09/2002,,,0,,0.6,19.4,,,18.54,87.75
83743,22/09/2002,,,1200,1.4,,,17.6,,,
83743,23/09/2002,,,0,,1.4,21,,,19.2,89
83743,23/09/2002,,,1200,3.3,,,17.4,,,
83743,24/09/2002,,,0,,3.3,20.9,,,18.36,93.5
83743,24/09/2002,,,1200,3.7,,,16.9,,,
83743,25/09/2002,,,0,,3.7,21.8,,,19.32,82
83743,25/09/2002,,,1200,33.2,,,16.8,,,
83743,26/09/2002,,,0,,33.2,25.8,,,20.96,73.75
83743,26/09/2002,,,1200,0,,,17.5,,,
83743,27/09/2002,,,0,,0,26.8,,,22.12,76.75
83743,27/09/2002,,,1200,0,,,18.6,,,
83743,28/09/2002,,,0,,0,27.7,,,23.3,69.5
83743,28/09/2002,,,1200,0,,,20.8,,,
83743,29/09/2002,,,0,,0,33.6,,,25.86,64.5
83743,29/09/2002,,,1200,0,,,19.5,,,
83743,30/09/2002,,,0,,0,37.3,,,29.52,55.75
83743,30/09/2002,,,1200,0,,,23.2,,,
83743,01/10/2002,,,0,,0,31.2,,,26.06,75.5
83743,01/10/2002,,,1200,0,,,24,,,
83743,02/10/2002,,,0,,0,27.4,,,23.5,75.5
83743,02/10/2002,,,1200,4.3,,,22.4,,,
83743,03/10/2002,,,0,,4.3,28.6,,,24.24,69.75
83743,03/10/2002,,,1200,0,,,20.8,,,
83743,04/10/2002,,,0,,0,30.5,,,24.72,70.25
83743,04/10/2002,,,1200,0,,,20.1,,,
83743,05/10/2002,,,0,,0,33.5,,,27.34,63
83743,05/10/2002,,,1200,0,,,21.7,,,
83743,06/10/2002,,,0,,0,30.7,,,26.78,72
83743,06/10/2002,,,1200,0,,,23.8,,,
83743,07/10/2002,,,0,,0,38.8,,,31.36,50.25
83743,07/10/2002,,,1200,0,,,24.7,,,
83743,08/10/2002,,,0,,0,37.7,,,30.42,58
83743,08/10/2002,,,1200,0,,,27.7,,,
83743,09/10/2002,,,0,,0,32.4,,,26.88,71.25
83743,09/10/2002,,,1200,0,,,23.6,,,
83743,10/10/2002,,,0,,0,36.5,,,28.74,54.5
83743,10/10/2002,,,1200,0,,,22.6,,,
83743,11/10/2002,,,0,,0,33.5,,,28.4,61.75
83743,11/10/2002,,,1200,0,,,23.1,,,
83743,12/10/2002,,,0,,0,33,,,27.18,69.5
83743,12/10/2002,,,1200,0,,,23.4,,,
83743,13/10/2002,,,0,,0,31.4,,,26.44,71.5
83743,13/10/2002,,,1200,0,,,23.6,,,
83743,14/10/2002,,,0,,0,32.5,,,27.92,67
83743,14/10/2002,,,1200,0,,,23.5,,,
83743,15/10/2002,,,0,,0,35.3,,,28.6,59
83743,15/10/2002,,,1200,0,,,23.1,,,
83743,16/10/2002,,,0,,0,35.8,,,29.1,64.5
83743,16/10/2002,,,1200,0,,,24.1,,,
83743,17/10/2002,,,0,,0,34.3,,,28.06,63.25
83743,17/10/2002,,,1200,0,,,24.4,,,
83743,18/10/2002,,,0,,0,30,,,26.24,76
83743,18/10/2002,,,1200,0,,,24.4,,,
83743,19/10/2002,,,0,,0,33.6,,,27.9,58
83743,19/10/2002,,,1200,0,,,23.5,,,
83743,20/10/2002,,,0,,0,37.6,,,30.48,50
83743,20/10/2002,,,1200,0,,,24.1,,,
83743,21/10/2002,,,0,,0,39.5,,,31.42,57.75
83743,21/10/2002,,,1200,0,,,26.5,,,
83743,22/10/2002,,,0,,0,30,,,24.48,78
83743,22/10/2002,,,1200,1,,,21.8,,,
83743,23/10/2002,,,0,,1,24.2,,,21.48,77.75
83743,23/10/2002,,,1200,10.4,,,19.8,,,
83743,24/10/2002,,,0,,10.4,29.8,,,24.34,64.25
83743,24/10/2002,,,1200,0,,,20.6,,,
83743,25/10/2002,,,0,,0,31.4,,,25.88,63.75
83743,25/10/2002,,,1200,0,,,21,,,
83743,26/10/2002,,,0,,0,33.6,,,27.46,70.25
83743,26/10/2002,,,1200,0,,,24.3,,,
83743,27/10/2002,,,0,,0,31.3,,,26.8,69.75
83743,27/10/2002,,,1200,0,,,24.6,,,
83743,28/10/2002,,,0,,0,29.6,,,25.8,74.75
83743,28/10/2002,,,1200,0,,,23,,,
83743,29/10/2002,,,0,,0,33.3,,,28.4,69.75
83743,29/10/2002,,,1200,0,,,24.3,,,
83743,30/10/2002,,,0,,0,28.4,,,26,80.5
83743,30/10/2002,,,1200,3.5,,,25,,,
83743,31/10/2002,,,0,,3.5,25.7,,,23.74,85
83743,31/10/2002,,,1200,6.8,,,23.1,,,
83743,01/11/2002,,,0,,6.8,27.1,,,24.14,76.5
83743,01/11/2002,,,1200,0.4,,,22.3,,,
83743,02/11/2002,,,0,,0.4,28.6,,,24.58,77.25
83743,02/11/2002,,,1200,0,,,22.7,,,
83743,03/11/2002,,,0,,0,30.5,,,25.42,72.5
83743,03/11/2002,,,1200,0,,,21.5,,,
83743,04/11/2002,,,0,,0,36.9,,,29.2,58.5
83743,04/11/2002,,,1200,0,,,22.8,,,
83743,05/11/2002,,,0,,0,29.1,,,23.48,86.25
83743,05/11/2002,,,1200,1,,,21.7,,,
83743,06/11/2002,,,0,,1,21.8,,,20.48,82.25
83743,06/11/2002,,,1200,47.3,,,18.6,,,
83743,07/11/2002,,,0,,47.3,24.2,,,20.16,80.25
83743,07/11/2002,,,1200,39.8,,,18.1,,,
83743,08/11/2002,,,0,,39.8,26.3,,,21.62,68
83743,08/11/2002,,,1200,0.5,,,18,,,
83743,09/11/2002,,,0,,0.5,29.3,,,24.42,62.75
83743,09/11/2002,,,1200,0,,,18.6,,,
83743,10/11/2002,,,0,,0,39,,,30.06,52
83743,10/11/2002,,,1200,0,,,22.1,,,
83743,11/11/2002,,,0,,0,34.6,,,28.32,68.25
83743,11/11/2002,,,1200,0,,,25,,,
83743,12/11/2002,,,0,,0,27.6,,,24.36,74.25
83743,12/11/2002,,,1200,4.5,,,23.3,,,
83743,13/11/2002,,,0,,4.5,24.5,,,22.96,86.25
83743,13/11/2002,,,1200,3.6,,,21.7,,,
83743,14/11/2002,,,0,,3.6,31.4,,,26.54,71.5
83743,14/11/2002,,,1200,2.9,,,21.4,,,
83743,15/11/2002,,,0,,2.9,30.9,,,27.46,66.75
83743,15/11/2002,,,1200,0,,,24.3,,,
83743,16/11/2002,,,0,,0,33.2,,,27.62,68
83743,16/11/2002,,,1200,0,,,23.3,,,
83743,17/11/2002,,,0,,0,33.5,,,29.12,60
83743,17/11/2002,,,1200,0,,,25.3,,,
83743,18/11/2002,,,0,,0,37.4,,,30.88,62
83743,18/11/2002,,,1200,0,,,24.7,,,
83743,19/11/2002,,,0,,0,31.3,,,27.22,73.5
83743,19/11/2002,,,1200,27.9,,,23.5,,,
83743,20/11/2002,,,0,,27.9,31,,,27.14,73.5
83743,20/11/2002,,,1200,0,,,24.5,,,
83743,21/11/2002,,,0,,0,37.5,,,29.38,72
83743,21/11/2002,,,1200,0,,,24.6,,,
83743,22/11/2002,,,0,,0,33.6,,,27.96,74
83743,22/11/2002,,,1200,0,,,23.2,,,
83743,23/11/2002,,,0,,0,34,,,28.68,69.25
83743,23/11/2002,,,1200,0.2,,,24.6,,,
83743,24/11/2002,,,0,,0.2,32.5,,,28.16,76.25
83743,24/11/2002,,,1200,2.4,,,25.3,,,
83743,25/11/2002,,,0,,2.4,39,,,31.48,60.5
83743,25/11/2002,,,1200,0,,,26.1,,,
83743,26/11/2002,,,0,,0,39,,,30.54,63
83743,26/11/2002,,,1200,0,,,26.3,,,
83743,27/11/2002,,,0,,0,37.6,,,32.14,52.75
83743,27/11/2002,,,1200,13.9,,,27.3,,,
83743,28/11/2002,,,0,,13.9,38,,,31.72,56
83743,28/11/2002,,,1200,0,,,27.4,,,
83743,29/11/2002,,,0,,0,38.6,,,31.96,57.75
83743,29/11/2002,,,1200,0,,,26.2,,,
83743,30/11/2002,,,0,,0,34.4,,,31.04,61.5
83743,30/11/2002,,,1200,0,,,28.8,,,
83743,01/12/2002,,,0,,0,42,,,34,52
83743,01/12/2002,,,1200,0,,,27.3,,,
83743,02/12/2002,,,0,,0,34.9,,,27.8,77.75
83743,02/12/2002,,,1200,0,,,24.3,,,
83743,03/12/2002,,,0,,0,28.1,,,25.42,82.75
83743,03/12/2002,,,1200,61.8,,,22.7,,,
83743,04/12/2002,,,0,,61.8,29.8,,,26.98,75.5
83743,04/12/2002,,,1200,0,,,24.5,,,
83743,05/12/2002,,,0,,0,35.5,,,28.78,69.75
83743,05/12/2002,,,1200,0,,,24.6,,,
83743,06/12/2002,,,0,,0,38.5,,,30.84,65.25
83743,06/12/2002,,,1200,0,,,26.3,,,
83743,07/12/2002,,,0,,0,33.4,,,30.3,62
83743,07/12/2002,,,1200,0,,,26.9,,,
83743,08/12/2002,,,0,,0,34.3,,,30.12,65.25
83743,08/12/2002,,,1200,0,,,26.7,,,
83743,09/12/2002,,,0,,0,29.6,,,24.4,90.75
83743,09/12/2002,,,1200,59.1,,,22.6,,,
83743,10/12/2002,,,0,,59.1,25.3,,,23.58,86
83743,10/12/2002,,,1200,23.1,,,22.4,,,
83743,11/12/2002,,,0,,23.1,26.5,,,24.34,86
83743,11/12/2002,,,1200,4.2,,,22.7,,,
83743,12/12/2002,,,0,,4.2,28.3,,,25.42,89
83743,12/12/2002,,,1200,20.6,,,23.5,,,
83743,13/12/2002,,,0,,20.6,30.1,,,26.5,80
83743,13/12/2002,,,1200,14.7,,,24,,,
83743,14/12/2002,,,0,,14.7,31,,,25.82,79.25
83743,14/12/2002,,,1200,0,,,22.7,,,
83743,15/12/2002,,,0,,0,33.5,,,28.22,71
83743,15/12/2002,,,1200,19,,,24.2,,,
83743,16/12/2002,,,0,,19,29.4,,,26.74,81.5
83743,16/12/2002,,,1200,0,,,25.5,,,
83743,17/12/2002,,,0,,0,36.3,,,28.68,67.75
83743,17/12/2002,,,1200,1.5,,,23.7,,,
83743,18/12/2002,,,0,,1.5,30.9,,,26.84,66.5
83743,18/12/2002,,,1200,8.1,,,24.3,,,
83743,19/12/2002,,,0,,8.1,31.6,,,27.34,65.75
83743,19/12/2002,,,1200,0,,,23.7,,,
83743,20/12/2002,,,0,,0,39.2,,,30.72,61.5
83743,20/12/2002,,,1200,0,,,24.6,,,
83743,21/12/2002,,,0,,0,33.6,,,28.92,71.5
83743,21/12/2002,,,1200,0,,,27,,,
83743,22/12/2002,,,0,,0,30.3,,,27.44,75.5
83743,22/12/2002,,,1200,0,,,26.1,,,
83743,23/12/2002,,,0,,0,39,,,30.06,68
83743,23/12/2002,,,1200,0,,,24.4,,,
83743,24/12/2002,,,0,,0,39.4,,,32.02,57
83743,24/12/2002,,,1200,0,,,26.8,,,
83743,25/12/2002,,,0,,0,32.7,,,26.88,79
83743,25/12/2002,,,1200,0,,,24,,,
83743,26/12/2002,,,0,,0,27.6,,,24.34,69.5
83743,26/12/2002,,,1200,30,,,22.7,,,
83743,27/12/2002,,,0,,30,29.4,,,25.14,66.25
83743,27/12/2002,,,1200,0,,,21.5,,,
83743,28/12/2002,,,0,,0,30.7,,,25.3,80.5
